solar,load,grid
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.276488062,0,1
0.812091457,0,1
1.320318163,0,1
1.72032085,2.739726027,1
1.834300922,2.739726027,1
1.871600238,2.739726027,1
1.832678909,2.739726027,1
1.672043902,2.739726027,1
1.256834268,0,1
0.743804267,0,1
0.19608179,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.273508951,0,1
0.807002335,0,1
1.310314204,0,1
1.709526798,2.739726027,1
1.961577778,2.739726027,1
2.041718673,2.739726027,1
1.942315799,2.739726027,1
1.673726333,2.739726027,1
1.261600382,0,1
0.749360473,0,1
0.205619362,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.270980656,0,1
0.801989898,0,1
1.304046915,0,1
1.702797073,2.739726027,1
1.953242307,2.739726027,1
1.71243852,2.739726027,1
1.451461823,2.739726027,1
1.409661306,2.739726027,1
1.139965712,0,1
0.744775615,0,1
0.208223413,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.264982928,0,1
0.785934763,0,1
1.282526202,0,1
1.675943239,2.739726027,1
1.924362119,2.739726027,1
1.755294042,2.739726027,1
1.707374959,2.739726027,1
1.603203647,2.739726027,1
1.236638121,0,1
0.69189522,0,1
0.172912805,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.240736397,0,1
0.754714509,0,1
1.281805824,0,1
1.679347606,2.739726027,1
1.872594824,2.739726027,1
1.882503508,2.739726027,1
1.923051496,2.739726027,1
1.659183992,2.739726027,1
1.255749053,0,1
0.750952276,0,1
0.222821758,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.257000675,0,1
0.77511515,0,1
1.273635343,0,1
1.341996895,2.739726027,1
1.441246398,2.739726027,1
1.301472144,2.739726027,1
1.234639653,2.739726027,1
1.447701914,2.739726027,1
1.23404476,0,1
0.750631592,0,1
0.215685135,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.218065171,0,1
0.780308843,0,1
1.285958455,0,1
1.688201284,2.739726027,1
1.948920039,2.739726027,1
2.011964736,2.739726027,1
1.878250954,2.739726027,1
1.62467556,2.739726027,1
1.115163793,0,1
0.773244491,0,1
0.220938085,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.216555863,0,1
0.452453179,0,1
1.113820637,0,1
1.690381009,2.739726027,1
1.948659773,2.739726027,1
2.033671353,2.739726027,1
1.915273737,2.739726027,1
1.679187264,2.739726027,1
1.273600486,0,1
0.771292499,0,1
0.145704359,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.250287216,0,1
0.770704577,0,1
1.270012538,0,1
1.673089612,2.739726027,1
1.927764163,2.739726027,1
2.017195611,2.739726027,1
1.926906681,2.739726027,1
1.667668186,2.739726027,1
1.267058988,0,1
0.765192523,0,1
0.235561295,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.24260938,0,1
0.728344025,0,1
1.207307116,0,1
1.592474662,2.739726027,1
1.903268986,2.739726027,1
1.775241542,2.739726027,1
1.685591657,2.739726027,1
0.930310141,2.739726027,1
0.892364809,0,1
0.687510209,0,1
0.170011773,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.23623752,0,1
